,Source,URL,Sents_Leicht,Sents_Standard,sents_leicht,sents_standard
25,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,"Und dafür, dass die Länder der Welt besser zusammen-arbeiten.Barack Obamas Vater ist 1971 bei einem Auto-Unfall gestorben. Vorher. hatte er seinen Sohn mehr als 10 Jahre lang nicht gesehen.Der Nama Barack ist arabisch.",His father passed away in a car accident in 1971 after not seeing his son for over 10 years.
26,LS_einfachstars_gpt7,/blog/16337-ein-mann-ist-eifersuechtig-auf-barack-obama.html,,,Übersetzt heißt er: Gesegnet von Gott.Barack Obamas Hobbys sind Poker und Basketball.,"The name Barack is Arabic and means ""blessed by God."" His hobbies include playing poker and basketball."
27,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"Sarah Jessica Parker ist Schauspielerin. Sie hat die Haupt-Rolle in der Serie ""Sex and the City"" gespielt. Die Serie lief von 1998 bis 2004. 6 Jahre lang.","Sarah Jessica Parker is an actress known for her role in the TV series ""Sex and the City,"" which aired from 1998 to 2004."
28,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"Sie war ein sehr großer Erfolg. Viele Fans lieben die Serie. Auch jetzt noch, 10 Jahre danach.",The series was a huge success and still has many fans even after 10 years.
29,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Sarah Jessica Parker ist 49 Jahre alt.,Sarah Jessica Parker is now 49 years old.
30,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"So sieht sie aus: Die Serie ""Sex and the City"" wurde in New York gedreht. In der Perry Street. Viele Fans besuchen diese Straße. Sie wollen sehen, wo Carrie Bradshaw, die Figur aus der Serie, gewohnt hat.","The series was filmed in New York City, specifically on Perry Street, and many fans visit this street to see where the main character, Carrie Bradshaw, lived."
31,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"Sie machen Fotos von sich. Sie verbringen Zeit dort. Das stört die Bewohner der Straße. Sie sind genervt, weil der Bürger-Steig immer voll ist.","They take photos and spend time there, which has been a source of annoyance for the residents as the sidewalks are always crowded."
32,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Sarah Jessica Parker wohnt in der Nähe der Perry Street. Jetzt war sie noch einmal dort. Sie hat ein Foto dort gemacht. Sarah Jesscia Parker hat eine eigene Schuh-Kollektion entworfen.,"Sarah Jessica Parker also lives near Perry Street and recently took a photo there, posing with a pair of shoes from her own shoe collection."
33,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Mit diesen Schuhen hat sie ein Foto gemacht. Auf der Treppe vor einem Haus in der Perry Street.,The residents are upset because she did not ask for permission to use the steps and facade for her photo shoot.
34,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Jetzt sind die Bewohner sauer: Sarah Jessica Parker hatte dafür nicht um Erlaubnis gefragt. Die Bewohner haben extra Schilder aufgestellt. Darauf steht: Niemand darf sich auf die Stufen vor den Eingängen setzen. Sie sagen: Das gilt auch für Sarah Jessica Parker.,"They even put up signs saying that no one is allowed to sit on the steps in front of their entrances, including Sarah Jessica Parker."
35,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"Ein Bewohner der Straße sagt: ""Weder sie noch ihre Firma wollen wahrhaben, dass sie die Stufen und die Fassade ohne Genehmigung genutzt haben, um ihre Schuh-Linie zu vermarkten."" Die Anwohner haben eine Gruppe gegründet. Die setzt sich für ihre Interessen ein. Der Vorstand der Gruppe sagt: ""Ich habe von dem Fotoshooting gehört.",One resident stated that neither she nor her company seem to realize that they used the steps and facade without permission to promote her shoe line.
36,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Sie haben sich nicht die Genehmigung der Besitzer eingeholt.,
37,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"Die Situation mit den ,SATC'-Besuchern ist noch immer sehr intensiv. Die Leute, die hier leben, sind genervt, dass der Bürgesteig ständig voll ist!"" ""SATC"" ist die Abkürzung für ""Sex and the City"". Das ist der Titel der Serie.","The residents have formed a group to advocate for their interests and have voiced their frustration with the constant crowding caused by visitors of the ""Sex and the City"" series."
38,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,"Üebrsetzt heißt das ""Sex und die Stadt"".Sarah Jessica ParkerSie ist Schauspielerin. Sie hat die Haupt-Rolle in der Serie ""Sex and the City"" gespielt. Die Serie spielt in New York. In der Serie spielt Sarah Jessica Parker eine Zeitung-Reporterin.",Sarah Jessica Parker has also appeared in other films and TV shows and has made a lot of money from her career.
39,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Sie schreibt für die Zeitung Texte über Sex.Die Serie Sex and the City hat viele Fans.,
40,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Viele finden: Sarah Jessica Parker kennt sich gut mit Mode aus.,
41,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Sie zieht sich immer gut an.,
42,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Viele Frauen wollen auch so aussehen.Außerdem hat Sarah Jessica Parker in diesen Filmen mitgespielt:Mit den Filmen und Serien hat Sarah Jessica Parker viel Geld verdient.Sarah Jessica Parker ist verheiratet.,
43,LS_einfachstars_gpt7,/blog/16336-sarah-jessica-parker-hat-aerger-mit-ihren-nachbarn.html,,,Ihr Mann heißt Matthew Broderick. Er ist auch Schauspieler. Sarah Jessica Parker und Matthew Broderick haben 3 Kinder zusammen.,She is married to actor Matthew Broderick and they have three children together.
44,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,Oscar de la Renta ist gestorben. Er war ein berühmter Designer.,"Oscar de la Renta, a famous designer, has passed away."
45,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,So sah er aus: Viele Stars mochten die Mode von Oscar de la Renta sehr. Sie haben sie oft auf dem roten Teppich getragen.,He was known for his unique style and many celebrities admired his work and often wore his designs on the red carpet.
46,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,Mit vielen von ihnen war er auch befreundet.,He had a close friendship with several of them.
47,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,Der Designer ist 82 Jahre alt geworden. Er hatte Krebs. Daran ist er auch gestorben. Am Montag.,Oscar de la Renta died at the age of 82 from cancer on Monday at his home in Connecticut.
48,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,In seinem Haus im US-Bundes-Staat Connecticut.,
49,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"Die Zeitung ""New York Times"" hat über ihn geschrieben: ""Er war der letzte Überlebende einer Generation kühner und stil-prägender Menschen, die alles gesehen haben.""","The ""New York Times"" described him as ""the last surviving member of a generation of bold and style-setting people who have seen it all."""
50,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,Das heißt: Seine Arbeit war besonders. Er hatte einen eigenen Stil. Viele Menschen mochten seinen Stil. Sie haben ihn gerne getragen.,This means that his work was extraordinary and he had his own distinct style that many people loved and wore.
51,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"George W. Bush war mal Präsident der USA. Er und seine Frau haben über Oscar de la Renta geschrieben: ""Wir werden Oscars großzügige und warme Persönlichkeit, seinen Charme und seine wundervollen Talente vermissen.","Former US President George W. Bush and his wife wrote a tribute to Oscar de la Renta, saying, ""We will miss Oscar's generous and warm personality, his charm, and his incredible talents."
52,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"Wir werden uns immer an ihn erinnern als den Mann, der Frauen wunderschön aussehen und sich fühlen ließ.""","We will always remember him as the man who made women look and feel beautiful."""
53,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"Oscar de la Renta wusste, dass er sterben würde. Und er hat öffentlich darüber gesprochen.",Oscar de la Renta was aware of his impending death and openly talked about it.
54,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"Er hat gesagt: ""Die einzigen echten Fakten im Leben sind, dass wir geboren werden und dass wir sterben.","He said, ""The only real facts in life are that we are born and that we die."
55,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"Wir denken immer, dass wir ewig leben werden.",We always think that we will live forever.
56,LS_einfachstars_gpt7,/blog/16335-der-designer-oscar-de-la-renta-ist-gestorben.html,,,"Mit dem Tod werden wir uns nie abfinden.""","We can never come to terms with death."""
57,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Nicole Richie ist die Adoptiv-Tochter von Musiker Lionel Richie. Sie ist 33 Jahre alt.,"Nicole Richie, the adoptive daughter of musician Lionel Richie, is 33 years old."
58,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,So sah sie vor 2 Jahren aus: Es gibt neue Fotos von Nicole Richie im Internet.,"Two years ago, she looked like this: There are new photos of Nicole Richie on the internet."
59,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,"Darauf ist sie sehr, sehr dünn.","In them, she appears to be very, very thin."
60,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Man kann ihre Knochen unter der Haut sehen.,You can see her bones through her skin.
61,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Viele Menschen machen sich Sorgen um sie.,Many people are worried about her.
62,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Früher war Nicole Richie mager-süchtig.,"In the past, Nicole Richie suffered from an eating disorder."
63,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Eine Weile ging es ihr besser.,"For a while, she was doing better."
64,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Sie hat geheiratet. Und 2 Kinder bekommen.,She got married and had two children.
65,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,In der Zeit hatte sie wieder normales Gewicht.,"During that time, she had a normal weight again."
66,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Auf neuen Fotos ist sie wieder sehr dünn.,"In the new photos, she appears very thin once more."
67,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,Alle fragen sich: Hat sie einen Rück-Fall?,Everyone is wondering: Has she relapsed?
68,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,"Ein Freund von ihr hat in einem Interview gesagt: ""Nicole ist momentan so dünn, das ist wirklich traurig.","A friend of hers said in an interview, ""Nicole is currently so thin, it's really sad."
69,LS_einfachstars_gpt7,/blog/16334-ist-nicole-richie-wieder-mager-suechtig.html,,,"Ihre Knochen stehen hervor und sie verliert immer weiter an Gewicht.""","Her bones are sticking out, and she keeps losing weight."""
70,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,Gunter Gabriel ist Musiker. Er ist 72 Jahre alt. So sieht er aus: Am Dienstag hatte er einen Schlag-Anfall.,"Der Musiker Gunter Gabriel, 72 Jahre alt, hatte am Dienstag einen leichten Schlaganfall erlitten."
71,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Aber er ist nicht ins Kranken-Haus gefahren. Statt-dessen stand er auf der Bühne. Der BILD-Zeitung hat er erzählt: ""Dienstag-morgen bin ich aufgestanden und hatte einen echten Schlenderkurs drauf. Weil ich nicht geschnallt habe, was los ist, habe ich dann aber abends trotzdem meine Vorstellung gegeben.""","Trotzdem trat er an diesem Abend auf der Bühne auf, weil er nicht erkannte, was mit ihm los war."
72,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Beim Konzert hat er dann gemerkt: Etwas stimmt nicht. Was ist dann passiert? Gunter Gabriel sagt: ""Während der Pause habe ich meinen Arzt angerufen.","Während des Konzerts bemerkte er jedoch, dass etwas nicht stimmte, und rief in der Pause seinen Arzt an."
73,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Und nach der Vorstellung bin ich direkt ins Krankenhaus gefahren.""",Nach der Vorstellung begab er sich dann direkt ins Krankenhaus.
74,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,Dort wurde er untersucht. Die Ärzte haben festgestellt: Es war ein leichter Schlag-Anfall. Das heißt: Das Gehirn bekam kurz nicht genug Blut.,"Dort wurde festgestellt, dass er einen leichten Schlaganfall erlitten hatte, bei dem das Gehirn kurzzeitig nicht ausreichend mit Blut versorgt wurde."
75,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Er musste auf die Intensiv-Station. Aber dort ist er nur 1 Nacht geblieben. Danach hat er sich selbst entlassen. Gunter Gabriel erzählt: ""Länger habe ich es da nicht mehr ausgehalten.""","Er wurde für eine Nacht zur Beobachtung auf die Intensivstation gebracht, entschied sich aber danach selbst, das Krankenhaus zu verlassen, weil er es dort nicht mehr aushielt."
76,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,Dann hat er mit einer Wahr-Sagerin gesprochen. Sie hat gesagt: Er soll zurück ins Kranken-Haus gehen. Das hat er auch getan.,"Später sprach er mit einer Hellseherin, die ihm empfahl, wieder ins Krankenhaus zurückzukehren, was er auch tat."
77,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Am Montag wurde er wieder entlassen. Er sagt: ""Körperlich geht es mir jetzt wieder gut.""","Am Montag wurde er erneut entlassen und gab an, dass es ihm körperlich wieder gut gehe."
78,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,Gunter Gabriel hat schon länger Herz-Probleme. Darum muss er Medikamente nehmen. Manchmal vergisst er sie.,Gunter Gabriel hat bereits seit längerem Probleme mit dem Herzen und muss deshalb Medikamente nehmen.
79,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Da will er jetzt besser aufpassen. Er sagt: ""Ich hatte Angst ohne Ende, bin immer noch geschockt! Ich bin mit dem Tod in Berührung gekommen.","Er möchte nun besser darauf achten, sie regelmäßig einzunehmen, da er große Angst vor seinem nahen Kontakt mit dem Tod hatte und immer noch geschockt ist."
80,LS_einfachstars_gpt7,/blog/16333-gunter-gabriel-hatte-einen-schlag-anfall.html,,,"Das war eine Warnung vom lieben Gott.""",Er betrachtet dies als eine Warnung Gottes.
81,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Jenny Elvers und Götz Elbertzhagen wollen sich scheiden lassen.,Jenny Elvers and Götz Elbertzhagen are getting divorced.
82,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,2 Termine gab es schon.,There have already been 2 appointments.
83,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Leider konnte Jenny Elvers nicht dort sein.,"Unfortunately, Jenny Elvers could not attend."
84,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Jetzt gibt es einen 3. Termin.,Now there is a 3rd appointment.
85,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Die Zeitungen haben viel darüber geschrieben.,The newspapers have written a lot about it.
86,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Sie haben auch geschrieben: Es geht um Geld.,They have also written: It's about money.
87,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Darüber ist Jenny Elvers sauer.,Jenny Elvers is angry about that.
88,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,Sie hat etwas dazu auf ihrer Facebook-Seite geschrieben.,She wrote something about it on her Facebook page.
89,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,"Sie schreibt: ""Aufgrund der sich wiederholenden falschen Berichterstattung in diversen Medien bezüglich meiner Scheidung von Herrn Elbertzhagen möchte ich folgendes klarstellen: Herr Götz Elbertzhagen zahlt mir weder Unterhalt, noch hat er mir eine Abfindung bezahlt.​""","She writes: ""Due to the repeated false reporting in various media regarding my divorce from Mr. Elbertzhagen, I want to clarify the following: Mr. Götz Elbertzhagen neither pays me alimony nor has he paid me a settlement."""
90,LS_einfachstars_gpt7,/blog/16332-jenny-elvers-ist-sauer.html,,,"Der Presse-Sprecher von Jenny Elvers sagt über die Scheidung: ""Eigentlich sollte das mit dem nächsten Termin erledigt sein.""","Jenny Elvers' press spokesperson says about the divorce: ""Actually, it should be settled with the next appointment."""
91,LS_einfachstars_gpt7,/blog/16331-herzogin-kate-sagt-ich-bin-froh-darueber-endlich-wieder-aus-dem-haus-zu-kommen.html,,,Herzogin Kate ist schwanger. Während der letzten Monate ging es ihr nicht gut. Ihr war morgens sehr übel. Deshalb war sie lange nicht in der Öffentlichkeit zu sehen.,"Herzogin Kate, die Ehefrau von Prinz William, ist schwanger und hat in den letzten Monaten unter Übelkeit gelitten, weshalb sie sich lange Zeit aus der Öffentlichkeit zurückgezogen hat."
92,LS_einfachstars_gpt7,/blog/16331-herzogin-kate-sagt-ich-bin-froh-darueber-endlich-wieder-aus-dem-haus-zu-kommen.html,,,Alle Briten waren in Sorge um sie. Gestern hatte sie ihren 1. Termin nach 3 Monaten. Sie war bei einem Staats-Besuch dabei. Der Präsident von Singapur wurde empfangen.,"Gestern nahm sie allerdings an einem Staatsbesuch teil, bei dem der Präsident von Singapur empfangen wurde."
93,LS_einfachstars_gpt7,/blog/16331-herzogin-kate-sagt-ich-bin-froh-darueber-endlich-wieder-aus-dem-haus-zu-kommen.html,,,"Ihm hat sie verraten: ""Ich bin froh darüber, endlich wieder aus dem Haus zu kommen.""Catherine, Duchess of CambridgeSie ist die Ehe·frau von Prinz William .","In einem Gespräch verriet sie, dass sie froh sei, endlich wieder das Haus verlassen zu können."
94,LS_einfachstars_gpt7,/blog/16331-herzogin-kate-sagt-ich-bin-froh-darueber-endlich-wieder-aus-dem-haus-zu-kommen.html,,,Prinz Wlliam wird später mal König von Großbritannien. Nach seinem Vater König Charles . Dann wird Catherine Königin von Großbritannien.Duchess ist das englische Wort für Herzogin.,Kate und William haben 3 Kinder zusammen.
95,LS_einfachstars_gpt7,/blog/16331-herzogin-kate-sagt-ich-bin-froh-darueber-endlich-wieder-aus-dem-haus-zu-kommen.html,,,In Deutschland wird Catherine oft Prinzessin Kate genannt.Vor ihrer Hochzeit war Kate keine Prinzessin. Sie hat in der Firma ihrer Eltern gearbeitet.,Vor ihrer Hochzeit arbeitete Kate in der Firma ihrer Eltern.
96,LS_einfachstars_gpt7,/blog/16331-herzogin-kate-sagt-ich-bin-froh-darueber-endlich-wieder-aus-dem-haus-zu-kommen.html,,,Da hat sie Kataloge und Werbung gemacht.Kate und William haben 3 Kinder zusammen: Kate und William haben sich an der Uni kennen·gelernt. Sie haben in der·selben Stadt studiert.Kate interessiert sich sehr für Mode. Viele Menschen finden: Sie ist sehr gut angezogen.,"Sie ist auch für ihren guten Modegeschmack bekannt und viele Menschen kaufen Kleidung, um wie sie auszusehen."
